disease,postLink,postHeading,postContent
Pain,https://www.drugs.com/answers/transdermal-patch-lidocaine-gabapentin-936802.html,Transdermal patch lidocaine and gabapentin?,Is there a plan to release a transdermal patch lidocaine and gabapentin for chronic pain? 
Pain,https://www.drugs.com/answers/dosage-44-5-pound-dog-896222.html,Meloxicam Dosage for a 44.5 pound dog?,My dog has hip displacia & it was recommended that Meloxicam would benefit her  with her pain better than the Remidyl she is on now. She weights 44.5 pounds. My vet doesn't use it but he said if I could get the correct dosage he would write a prescription for her. 
Pain,https://www.drugs.com/answers/remeron-leg-cramps-745287.html,Remeron - Any leg cramps hi?,Leg cramps hip pain butt pain? 
Pain,https://www.drugs.com/answers/methylprednisolone-dose-pack-pain-relief-long-871503.html,MethylPREDNISolone Dose Pack - Will pain relief be long lasting?,"Severe hip and upper thigh pain,no cause. Couldn't put any weight on leg. Dose pack worked to relieve the pain. "
Pain,https://www.drugs.com/answers/percocets-while-on-subutex-493960.html,Percocets while on subutex?,Today I went to the er for an abscessed tooth I am in so much pain! I am on subutex not suboxone and the last time I took it was at about two in the am but only half if I take this percocet will I go into w/d. Please help! someone who has done this before 
Pain,https://www.drugs.com/answers/when-should-the-swelling-bruising-and-serious-401077.html,"Implanon - When should the swelling, bruising, and serious pain stop?",I havent had the implanon for too long but my arm has a huge bruise on it and it hurts so bad. It hurts to the point of tears. My arm is still pretty swollen and i can barely lift it up. Is this normal? 
Pain,https://www.drugs.com/answers/tylenol-codeine-4-vicoden-helps-pain-little-839414.html,Tylenol with Codeine 4 - I like my vicoden because it helps my pain but also gives me a little?,... energy to help me with my chores is this new med going to make me sleepy ?or give me the same effect as my vicoden 10s??? 
Pain,https://www.drugs.com/answers/interstitial-cystitis-15-mom-ic-adrenal-934598.html,Interstitial Cystitis - I'm 15 and my mom has had IC with Adrenal insufficiency and Addison's?,- I'm 15 and my mom has had IC with Adrenal insufficiency and Addison's Disease on top of it for 11 years. She's in chronic pain a lot and I feel totally out of control and helpless. I've hit my breaking point and I feel like I can't talk to anyone that really understands. (I'm also the only child) This is a last resort.. PLEASE email me @ saunnc@gmail.com I desperately need help. :( 
Pain,https://www.drugs.com/answers/taking-tramadol-50mg-working-stronger-dose-1522324.html,"I am taking Tramadol 50mg and it is not working, is there a stronger dose of this medicine?",
Pain,https://www.drugs.com/answers/pain-management-tampa-florida-hard-time-finding-1210436.html,I go to pain management in tampa florida.I am having a hard time finding a pharmacy to fill my?,script for dilaudid 8. I found one pharmacy 12.00 per pill. I get 120 per month. I need to find something cheaper anyone know of a pharmacy in tampa or spring hill florida. 
Pain,https://www.drugs.com/answers/nucynta-nuynta-side-effects-50mg-1202028.html,Nucynta - Nuynta side effects - 50mg?,"I was recently given 50mg nucynta for severe back pain. It seems to work well, but the side effects are difficult. I feel like my skin is crawling and have sharp pains all over my body randomly, like the nerves are sparking. It also give me INSOMNIA. Lat night i took 4mg Xanaflex and a Tylenol PM and got a whole 2 hours. Any help??? "
Pain,https://www.drugs.com/answers/diagnosed-shingles-tylenol-3-ibuprofen-manage-883797.html,I was diagnosed with shingles and was given Tylenol 3 and ibuprofen to manage pain. I took about 100,manage pain - I have taken 100... Tylenol 3's in about 2 weeks - and have stopped taking this. I now have either withdrawal or stomach flu - how do I know the difference ' 
Pain,https://www.drugs.com/answers/meloxicam-meloxican-work-spinal-stenosis-1070348.html,Meloxicam - will meloxican work for spinal stenosis?,"I have pain in lower back and down both legs. Have been on celebrex for like forever. Always looking for the drug that will help the most. I am also on cymbalta, norco 10-325, horizant and flexerl. Still in more pain than want. Any help would be greatly appreciated. "
Pain,https://www.drugs.com/answers/wanting-stay-meloxicam-long-term-1056076.html,I'm wanting to know if I need to stay on Meloxicam long term?,"I started taking 7.5 mg of Meloxicam once daily in March 2014 for fibromyalgia symptoms and pain. It's working great but I'm wondering if I can stop and start this protocol as the symptoms flare up. I am an active 52 year old woman, I work four nights a week as a waitress. The only other pill I take is a multivitamin once daily. I really hate to take anything long term. Any advice? "
Pain,https://www.drugs.com/answers/abdominal-pains-week-stomach-pains-ct-scan-lymph-1034880.html,I've had abdominal pains for a week. With stomach pains all around. I had a Ct scan and my lymph in?,"... colon were swollen and appendix was slightly big but no signs of appendicitis, I haven't pooped today feels like I need to pass gas! I saw the doctor today and told me to take a suppository it said it would take 15-30 min to work it's been an hour and I can't poop what does that mean. "
Pain,https://www.drugs.com/answers/i-have-lower-back-pain-can-i-use-lidoderm-patch-317898.html,"I have lower back pain, can I use lidoderm patch?",
Pain,https://www.drugs.com/answers/how-does-oxycontin-20mg-compare-to-norco-10-325-230560.html,How does Oxycontin 20mg compare to Norco 10/325?,Was wondering how many Norco/325's would be equal to a 20mg Oxycontin? My Doctor just gave me Oxycontin instead of the Norco that I have been taking for about 3 years. 
Pain,https://www.drugs.com/answers/side-hurting-1019102.html,Why is my side hurting?,My right lower side hurts really bad for two days. it feels like someone punch me in my side and keep poking me with an sharp object it also makes my lower back hurt on that side (same kind of pain) it also feels like it's an pulse. It feels weird and I'm scared because I have no idea what is going on. Also all last week I have been drinking sodas and juice. My right side and right lower back feels good when someone is rubbing it it kind of hurts when I lay on that side. The pain is hurting so bad I feel like crying. Also I have an dr appointment Friday but I just want to kind of have an idea of what could be possible wrong with me 
Pain,https://www.drugs.com/answers/primary-care-physician-prescribe-meds-detox-pain-2651420.html,Can a primary care physician prescribe meds to help detox off of pain meds?,I was wondering because i have managed to get myself weened off of 160mg of Oxycontin an high doses of roxicodone down to a few hydros and percs a day but i need to find something to help me kick the rest of this habit and a detox program is not something that i can afford at this moment in my life and I can't just sit around an hope that one day i can afford to get myself help i got to kick this problem NOW! 
Pain,https://www.drugs.com/answers/felt-sick-taking-lisinopril-mid-december-2572838.html,I have never felt so sick since taking Lisinopril in mid December?,"Hacking cough, constantly runny nose that does not respond to any OTC meds, EXTREME fatigue, chest pain, absolutely no energy. I feel like I lost a month of my life. My Dr couldn't find anything but she did mention in passing that Lisinopril could cause coughing. I did some research and found all my symptoms on the side effects list and asker her to change the med. I have been off the Lisinopril for four days but apparently it may take anywhere from a week to three months Any one else experience this? "
Pain,https://www.drugs.com/answers/alot-pain-cuz-foot-injury-tramadol-50mg-1-tab-793554.html,"I'm having alot of pain cuz of a foot injury. I'm on Tramadol 50mg, take 1 tab. every 6 hrs. Still?",... in pain mostly at night. So my PCP gave me a script for Topical Pain Medication Cream. To use it 4/daily. Has anyone every heard of it or has used it before? started it today. It is made especially to meet your individual needs. 
Pain,https://www.drugs.com/answers/cymbalta-2520022.html,Should I try Cymbalta?,I'm a 22 year old female and I have severe depression and anxiety and have always had trouble finding a medication that works for me. I also have had severe chronic abdominal pain for months that my doctors can't seem to figure out. My therapist has recommended Cymbalta in hopes that it could help both problems. I'm really nervous about trying it so please any experiences' would help. Thank you in advance. 
Pain,https://www.drugs.com/answers/swallow-pills-crush-percocet-349-2362029.html,I can't swallow pills. Can I crush a Percocet A 349 pill?,
Pain,https://www.drugs.com/answers/severe-pain-herniated-disc-1181843.html,Severe pain from herniated disc?,"Hi all. I have been diagnosed with a herniated disc at L5 and am in severe pain. I am on day 12 of being in bed. I try to walk around a bit but my lower back (almost in my bum) and my right leg give me so much pain that i cannot manage for more than 5 mins before ending in tears. I have seen a neurosurgeon who has written me off work for 3 weeks and who has suggested a spinal block to help with the pain if i dont get relief soon. Has anyone else experienced such pain levels and how long did it take to reach manageable levels? Also, any positive experiences with the spinal block? Many thanks. Kim "
Pain,https://www.drugs.com/answers/gabapentin-xanax-temazepam-question-2210127.html,Gabapentin taken with Xanax and temazepam question?,"Hi, I take temazepam 15mg every night and Xanax 0.5mg as needed for travel or anxiety. I have had shingles for the past couple of weeks and the dr. Prescribed gabapentin 100 mg for the pain caused by the shingles. Is it save to take all 3 of these at bedtime? I sure hope so as I just did. I figured the dr. Would know what I take but then again, they don't always read charts. I also take during the day Tylenol 3 for arthritis pain and 1 Wellbutrin 150mg in morning and retalin 10mg 1 tablet in morning and 1 around 2 pm. Thanks. "
