disease,postLink,postHeading,postContent
Nail Disorders,https://patient.info/forums/discuss/white-vertical-line-on-big-toe-nail-206548,White vertical line on big toe nail,"I wonder if anyone can shed any light on this. I have a white line, around 0.5mm wide running straight down my big toe nail. I can't remember how long I have had this. I've been to doc who are waiting for lab tests to see if its fungal related - the first tests have come back abnormal and are doing further tests. My toe does not hurt and the nail is OK apart from the white line, but my big toe is very slightly red at top and underneath. I've done research on this and cannot find anything concrete. So, question is, what does abnormal mean in tests, and what is this white line. Thank you. 1 like, 8 replies "
Nail Disorders,https://patient.info/forums/discuss/tuff-toenail-fungus--614836,Tuff Toenail fungus!,"I have been trying for over a year to get rid of toenail fungus. I have used tea tree oil, vineger and prescription Penlac Nail Lacquer, but the fungus is still there. Does anyone have an ideas on what to use next? 2 likes, 14 replies "
Nail Disorders,https://patient.info/forums/discuss/what-s-up-with-my-toenail--674124,What's up with my toenail?,"So I assume this is like a fungus or something, but can someone tell me what's wrong with my toenail and what works to fix it? Thanks! 0 likes, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/ingrowing-toenail-686341,Ingrowing toenail,"ive had an ingrown toenail for the past month. it has swollen a bit, not a lot, so doc put me on antibiotics. theyre called flucloxacillin 500mg. ive taken them for 6 days now out of 7 and swelling has not gone but not gotten any bigger. I wont be able to see my doc until next tuesday so heres hoping it'll be ok up til then . im soaking it in warm water also. I can walk no problem. its not black. it looks normal aside from the swelling. any info most welcome.. 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/fungal-nail-669644,fungal nail ,"Hello, I have had what looks like a fungal infected nail for over a year now, never really bothered me but think comes from getting damaged during playing football and then developing from there.  Recently the other big toenail has seemed to develop fungus. firstly, do the images look like nail fungus?  Secondly, is it recommended to cut away the section of nail that is infected? For example the new issue in the toenail is only ever slightly along the top and I could probably cut it away.  I have got my hands on some of the nail varnish type medication that I am going to start but was wondering whether trimming them back and exposing the skin would help first before applying the solution??  How spreadable is nail fungus? Can I spread it through sharing the bed with my partner? Or the shower? thanks 0 likes, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/damaged-toenail-678431,Damaged toenail,"I have a damaged toenail after it basically being ripped off backwards. Its grown back but its thick and its almost heart shapped with a split right down the middle. The new toenail is actually lifting up also  . Id attach a photo but I dont know how. Im just wondering if its likely the nail will ever get better. Thank you 0 likes, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/toenail-raised-672579,Toenail raised ,"On my left big toe, I had a new toenail growing under an old one. I kept trimming the nail back until it was barely even there. Earlier, I was filing the nail, and the top layer peeled right off. Now, the new nail is sitting on top of thick nail, and it's raised. Why is it like that and what do I do about it? I've inserted an image of the toenail from 2 months ago and images of it now.    0 likes, 2 replies "
Nail Disorders,https://patient.info/forums/discuss/ingrowing-toenail-686342,Ingrowing toenail,"ive had an ingrown toenail for the past month. it has swollen a bit, not a lot, so doc put me on antibiotics. theyre called flucloxacillin 500mg. ive taken them for 6 days now out of 7 and swelling has not gone but not gotten any bigger. I wont be able to see my doc until next tuesday so heres hoping it'll be ok up til then . im soaking it in warm water also. I can walk no problem. its not black. it looks normal aside from the swelling. any info most welcome.. 0 likes, 2 replies "
Nail Disorders,https://patient.info/forums/discuss/ingrown-toenail-686688,Ingrown toenail,"ive soaked my foot in hot water since I posted last and have taken the   but swelling has not reduced but there is no pain which is a relief and will be seeing doc on Tuesday afternoon. im worried now that he may have to cut it open. he says hes able to do this operation.. 0 likes, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/toenail-inception-680750,Toenail inception ,"I injured my toe several years ago, I was running around barefoot and accidentally dragged my big toe against some concrete and partially severed a good chunk of it. I had medical tape put on it and let it heal and reattach so to speak. The section of my toe that was damaged turns a different color when it is wet for a certain amount of time and the nail has never been the same. It’s like there is a tiny, thicker, slightly yellow chunk of toenail that grows in under my regular toenail and it creates great discomfort and I’m wanting to get some advice on what I should do, keep self trimming it or should I see a professional?  1 like, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/stripe-687363,Stripe,"anyone know what this is ?? please help 0 likes, 2 replies "
Nail Disorders,https://patient.info/forums/discuss/yellow-brown-stripe-on-thumb-nail-685043,Yellow brown stripe on thumb nail,"ive had this stripe on my nail for a while now my drs say its nothing to worry about ? has anyone had similar ? have had it checked for melanoma 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/tiny-brown-spots-640223,Tiny brown spots,"Hi! I will include a picture as well, but I am confused and googling hasn't been helping much. I have these tiny brown spots on my fingernails on my cuticles. It's on both hands and seemingly getting worse as time goes on. Friends have said I could be lacking B12, which has been a problem in the past, and that it could also be a sign of a kidney problem, which I have experienced as well. (Kidneys started to fail in 2016, but were able to heal on their own after I surgery I had) No spots on my toes, just fingers. Posting my right hand because it's more apparent and easier to see for a photo. Should I go in? Anyone else experience this? (I am a young adult, female. I do have some other health issues. Stomach issues, some sort of nerve problem but not getting much help right now, headache/migraines..I can go into deal if needed.) 1 like, 6 replies "
Nail Disorders,https://patient.info/forums/discuss/toe-nails-now-not-growing-out-with-fungal-toenail-infection-672188,Toe nails now not growing out with fungal toenail infection,"Now 62 years old female with approx 25 years of fungal toenail infection. My toe nails have stopped growing at all so any topical solution I put on is irrelevant as it only claims to work preventing the infection in new growth but there is'nt any! Why have my toe nails stopped growing whereas my finger nails do grow? However the two thumbnails always split horizontally near the top! also have become lightly ridged vertically. At the time of diagnosis by my Doctor he prescribed Grisiofulvin but after taking two tablets I suffered with severe stomach pain so he basically said not to take them and that I have to live with the condition. Is there any help out there?   0 likes, 4 replies "
Nail Disorders,https://patient.info/forums/discuss/ingrowing-toenail-687404,Ingrowing Toenail,"Hi,  I seem to remember that you could buy a liquid to paint on an ingrowing toenail  to soften it. Does anyone know what it is called please? Regards J 0 likes, 1 reply "
Nail Disorders,https://patient.info/forums/discuss/peeling-soft-nails-686818,Peeling soft nails,"Recently the top of my nails started peeling down because they were very soft and weak. It is probably down to a  . I am taking vit d regularly and multi vitamins and minerals. I put some nail strengthener on but it chipped of and made the peeling worse. What can I use on my nails to stop them peeling down? 0 likes, 14 replies "
Nail Disorders,https://patient.info/forums/discuss/terbinafine-for-thick-yellow-nails-690167,"Terbinafine for thick, yellow nails","I've had some thick, yellow toenails for about 30 years. I've been using a prescription for Terbinafine for three months. The strange thing is that my right foot has completely cleared up but my left foot is unchanged. Has anyone else used this medicine for treatment? Has anyone experienced something similar? This is actually my second round of the medicine. My last treatment last year did the same thing, right foot clear and left foot untouched. 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/nail-biting-689813,Nail Biting,"Does anyone had success in stopping  biting nails if so how, I have tried the bitter tasting liquid and plasters but mostly I don't realise I am doing it.  Radical innovative ideas ? 0 likes, 7 replies "
Nail Disorders,https://patient.info/forums/discuss/hit-my-acrylic-nail-resulting-in-lifting-my-real-nail-and-i-believe-pushing-the-nail-bed-to-skin-533886,Hit my acrylic nail resulting in lifting my real nail and I believe pushing the nail bed to skin,"I accidentally hit my acrylic nail against the cabinet causing it to lift my real nail bed and I think it also pushed my nail bed passing my cuticle. As you can see from the pictures, I believe that is my nail that should be under my skin. Should I keep it covered until the nail grows--of course I will put peroxide on twice a day. What should I do? Someone please help 2 likes, 6 replies "
