Source,Destination,Weight
C0221423,C0011991,24.0
C0221423,C0009806,11.0
C0221423,C3714552,34.0
C0221423,C0018681,46.0
C0221423,C0401149,2.0
C0221423,C0015230,17.0
C0221423,C0030193,104.0
C0221423,C0033774,19.0
C0221423,C0231617,11.0
C0221423,C1442877,4.0
C0221423,C0085624,12.0
C0221423,C0677500,4.0
C0221423,C0000737,6.0
C0221423,C0027497,49.0
C0221423,C1446787,2.0
C0221423,C2957106,4.0
C0221423,C0497406,5.0
C0221423,C0596601,7.0
C0221423,C0242429,7.0
C0221423,C0024031,2.0
C0221423,C0234233,17.0
C0221423,C0683369,15.0
C0221423,C0012833,30.0
C0221423,C0026821,5.0
C0221423,C0877113,1.0
C0221423,C0455270,6.0
C0221423,C0679309,1.0
C0221423,C0557875,49.0
C0221423,C0015672,37.0
C0221423,C1291077,12.0
C0221423,C0231528,6.0
C0221423,C0010200,26.0
C0221423,C1443924,2.0
C0221423,C0235309,13.0
C0221423,C0344375,2.0
C0221423,C0392171,5.0
C0221423,C1260880,4.0
C0221423,C0231218,32.0
C0221423,C1321898,2.0
C0221423,C0018834,9.0
C0221423,C1321587,3.0
C0221423,C0024902,1.0
C0221423,C0438716,2.0
C0221423,C0008031,3.0
C0221423,C0600142,2.0
C0221423,C0037763,3.0
C0221423,C0795691,4.0
C0221423,C0037011,1.0
C0221423,C0013404,8.0
C0221423,C0234238,12.0
C0221423,C0027769,9.0
C0221423,C0042963,29.0
C0221423,C0741426,1.0
C0221423,C1579838,1.0
C0221423,C0392674,13.0
C0221423,C0020175,9.0
C0221423,C0221512,20.0
C0221423,C1579931,7.0
C0221423,C0917801,6.0
C0221423,C0235108,1.0
C0221423,C0039070,9.0
C0221423,C0302539,3.0
C0221423,C0016204,2.0
C0221423,C0000729,2.0
C0221423,C0016382,5.0
C0221423,C0748706,2.0
C0221423,C0151908,3.0
C0221423,C2242996,6.0
C0221423,C0577573,2.0
C0221423,C0023380,6.0
C0221423,C0312414,2.0
C0221423,C0013395,1.0
C0221423,C0278007,1.0
C0221423,C0278145,3.0
C0221423,C2129214,8.0
C0221423,C0040822,22.0
C0221423,C0518214,1.0
C0221423,C0151315,4.0
C0221423,C0232292,1.0
C0221423,C0085593,11.0
C0221423,C0037088,5.0
C0221423,C0014724,3.0
C0221423,C0003862,18.0
C0221423,C0741585,10.0
C0221423,C0036572,10.0
C0221423,C0700184,1.0
C0221423,C0238741,1.0
C0221423,C0030794,2.0
C0221423,C0857057,2.0
C0221423,C0004604,8.0
C0221423,C0042571,7.0
C0221423,C0281856,2.0
C0221423,C0857027,8.0
C0221423,C0278144,1.0
C0221423,C0034886,1.0
C0221423,C0235129,2.0
C0221423,C0812426,1.0
C0221423,C0851121,2.0
C0221423,C0221170,6.0
C0221423,C0558489,1.0
C0221423,C0235239,3.0
C0221423,C0220870,4.0
C0221423,C0007859,3.0
C0221423,C0232431,2.0
C0221423,C0278148,1.0
C0221423,C0234230,4.0
C0221423,C0848283,2.0
C0221423,C0028643,5.0
C0221423,C1517205,4.0
C0221423,C0848290,4.0
C0221423,C0948396,1.0
C0221423,C0239783,1.0
C0221423,C0232487,1.0
C0221423,C0028081,7.0
C0221423,C1096300,1.0
C0221423,C0877605,1.0
C0221423,C0849970,3.0
C0221423,C0221100,3.0
C0221423,C0427008,3.0
C0221423,C0424489,1.0
C0221423,C0849959,1.0
C0221423,C0150055,7.0
C0221423,C0848168,1.0
C0221423,C0425449,2.0
C0221423,C0028084,5.0
C0221423,C1397014,1.0
C0221423,C0314719,2.0
C0221423,C0235240,1.0
C0221423,C0564820,1.0
C0221423,C0234229,1.0
C0221423,C0859371,1.0
C0221423,C0027498,2.0
C0221423,C0232602,2.0
C0221423,C0848332,1.0
C0221423,C0019559,2.0
C0221423,C0030201,1.0
C0221423,C0221232,1.0
C0221423,C0085631,3.0
C0221423,C0036396,3.0
C0221423,C0023218,1.0
C0221423,C0023222,3.0
C0221423,C0151825,1.0
C0221423,C0240129,1.0
C0221423,C0016512,1.0
C0221423,C0015644,1.0
C0221423,C0574002,1.0
C0221423,C0040460,2.0
C0221423,C0236000,1.0
C0221423,C0344232,4.0
C0221423,C0549263,1.0
C0221423,C0234369,1.0
C0221423,C0564823,1.0
C0221423,C1704276,1.0
C0221423,C2116289,1.0
C0221423,C2169806,1.0
C0221423,C0235004,4.0
C0221423,C0857245,1.0
C0221423,C0849759,1.0
C0221423,C0542476,1.0
C0221423,C0005858,1.0
C0221423,C0043144,4.0
C0221423,C0858665,1.0
C0221423,C0085636,2.0
C0221423,C0239649,2.0
C0221423,C0239266,2.0
C0221423,C0033775,1.0
C0221423,C0019079,1.0
C0221423,C0439053,1.0
C0221423,C0278146,1.0
C0221423,C0581879,1.0
C0221423,C0239589,4.0
C0221423,C0270996,2.0
C0221423,C0232849,1.0
C0221423,C0848633,1.0
C0221423,C0235267,2.0
C0221423,C0578687,1.0
C0221423,C0474585,1.0
C0221423,C0010201,1.0
C0221423,C0013456,1.0
C0221423,C0241165,1.0
C0221423,C0850149,5.0
C0221423,C0235234,1.0
C0221423,C2364135,1.0
C0221423,C0019825,1.0
C0221423,C0581881,1.0
C0221423,C0423600,1.0
C0221423,C0239833,1.0
C0221423,C0423693,2.0
C0221423,C0574068,2.0
C0221423,C0741396,1.0
C0221423,C0235706,1.0
C0221423,C0857233,1.0
C0221423,C0427055,1.0
C0221423,C0234362,1.0
C0221423,C0549343,2.0
C0221423,C1282310,1.0
C0221423,C0857160,1.0
C0221423,C0849640,1.0
C0221423,C0549248,1.0
C0221423,C0239832,1.0
C0221423,C0149651,4.0
C0221423,C0234253,1.0
C0221423,C0426484,1.0
C0221423,C0877487,1.0
C0221423,C0497293,1.0
C0221423,C0240564,1.0
C0221423,C0034642,1.0
C0221423,C0235283,1.0
C0221423,C0849911,1.0
C0221423,C0857062,1.0
C0221423,C0234532,1.0
C0221423,C0522365,1.0
